ID_OS;STATUS;VEICULO;PLACA;COR;DESCRICAO_SERVICO;VALOR_TOTAL;DATA_ABERTURA;DATA_FECHAMENTO;OBSERVACOES
1;Pronto para Retirada;Ford Ka;JIL9G46;Azul;Verificação e reparo de vazamento de óleo no cárter.;1728.93;09/09/2025;14/09/2025;Cliente aguarda a cotação da peça X antes de autorizar o serviço.
2;Em Teste;Duster;FKU1A43;Prata;Troca do amortecedor e kit batente dianteiro.;3475.01;28/09/2025;;O veículo foi lavado e aspirado após o serviço.
3;Orçamento Pendente;Volkswagen Polo;JBR3W38;Prata;Instalação de sensor de estacionamento traseiro.;0.0;12/09/2025;;Recomendamos a troca do filtro de combustível.
4;Aguardando Aprovação;Renault Kwid;UAK0J24;Cinza;Reparo no escapamento e substituição do catalisador.;3362.69;15/10/2025;;Realizar check-up completo em 1 ano.
5;Em Andamento;Mercedes-Benz C180;KDI6I90;Vermelho;Reparo no sistema de arrefecimento: troca de mangueiras e aditivo.;1188.49;18/09/2025;;O valor não inclui o serviço de funilaria que será tratado separadamente.
6;Concluída;Citroën C3;GNV5I87;Cinza;Troca do amortecedor e kit batente dianteiro.;1934.19;20/10/2025;04/11/2025;Serviço complexo, tempo de espera pode ser estendido.
7;Pronto para Retirada;Ford Fiesta;YNQ9Z16;Vermelho;Troca de embreagem e volante do motor.;1912.63;04/10/2025;15/10/2025;Retorno agendado para 30 dias para checagem do reparo.
8;Concluída;Mercedes-Benz C180;HYR2G95;Preto;Instalação de engate e parte elétrica.;2939.67;26/09/2025;27/09/2025;Necessário trocar pneu traseiro direito urgentemente.
9;Pronto para Retirada;Fiat Argo;ANY8Y52;Cinza;Higienização do sistema de ar-condicionado e substituição do filtro de cabine.;1691.08;11/09/2025;23/09/2025;Carro de locadora. Seguir rigorosamente o manual.
10;Em Teste;Fiat Argo;JXD6Y72;Vermelho;Substituição do líquido de arrefecimento e limpeza do radiador.;1922.43;09/10/2025;;Valor do serviço sujeito a alteração caso o câmbio precise ser aberto.
11;Em Teste;Audi A3;IVC8G16;Cinza;Diagnóstico de ruído na direção hidráulica e troca de fluido.;2022.63;13/09/2025;;Serviço urgente solicitado pelo cliente devido a viagem.
12;Em Andamento;Audi A3;ZBH8U45;Prata;Limpeza de bicos injetores, troca de velas e cabos.;3072.89;08/10/2025;;Serviço urgente solicitado pelo cliente devido a viagem.
13;Em Andamento;Tesla Model 3;GAA0E50;Cinza;Revisão de 30.000 KM, balanceamento, rodízio de pneus e geometria.;2504.7;27/10/2025;;Valor do serviço sujeito a alteração caso o câmbio precise ser aberto.
14;Aguardando Aprovação;Toyota Hilux;HUG9I68;Azul;Funilaria e pintura do para-choque dianteiro e porta do motorista.;2840.51;19/10/2025;;Odor estranho no ar-condicionado resolvido com a higienização.
15;Aguardando Peças;Renault Kwid;UUE8V71;Vermelho;Troca do amortecedor e kit batente dianteiro.;1028.4;14/09/2025;;Carro de locadora. Seguir rigorosamente o manual.
